,Model,title,rate,tags,company,Images
72,Oppo F7,Oppo F7 review,3.7,"Oppo,Android,Dual SIM",Oppo,"https://cdn.gsmarena.com/imgroot/reviews/18/oppo-f7/lifestyle/-728w2/gsmarena_017.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-f7/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-f7/lifestyle/-728w2/gsmarena_001.jpg"
73,Moto G6 Plus,Motorola Moto G6 Plus review,3.8,"Motorola,Android,Dual SIM",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/18/motorola-moto-g6-plus/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/motorola-moto-g6-plus/lifestyle/-728w2/gsmarena_014.jpg"
74,Honor 10,Huawei Honor 10 hands-on review,,"Huawei,Honor,Android,Dual SIM",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/18/huawei-honor-10/hands-on/inline/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-honor-10/hands-on/inline/-728w2/gsmarena_040.jpg"
75,OnePlus 6,OnePlus 6 hands-on,,"OnePlus,Android,Dual SIM",OnePlus,https://cdn.gsmarena.com/imgroot/reviews/18/oneplus-6/hands-on/inline/-728/gsmarena_001.jpg
76,U12+,HTC U12+ hands-on review,,"HTC,Android,Dual SIM",HTC,https://cdn.gsmarena.com/imgroot/reviews/18/htc-u12-plus/hands-on/lifestyle/-728w2/gsmarena_101.jpg
77,Moto G6 Play,Motorola Moto G6 Play review,,"Motorola,Android,Dual SIM",Motorola,https://cdn.gsmarena.com/imgroot/reviews/18/motorola-moto-g6-play/lifestyle/-728w2/gsmarena_007.jpg
78,P20 lite,Huawei P20 Lite review,3.4,"Huawei,Android,Dual SIM",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/18/huawei-p20-lite/lifestyle/-728w2/gsmarena_011.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-p20-lite/lifestyle/-728w2/gsmarena_005.jpg"
79,Xperia XZ2,Sony Xperia XZ2 long-term review,,"Sony,Android,Long-term",Sony,https://cdn.gsmarena.com/imgroot/reviews/18/sony-xperia-xz2-long-term/lifestyle/-728w2/gsmarena_004.jpg
80,Realme 1,Oppo Realme 1 review,3.6,"Oppo,Realme,Android,Dual SIM",Oppo,"https://cdn.gsmarena.com/imgroot/reviews/18/oppo-realme-1/lifestyle/-728w2/gsmarena_011.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-realme-1/lifestyle/-728w2/gsmarena_012.jpg"
81,P smart,Huawei P Smart review,3.4,"Huawei,Android,Dual SIM",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/18/huawei-p-smart/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-p-smart/lifestyle/-728w2/gsmarena_001.jpg"
82,Redmi Note 5 Pro,Xiaomi Redmi Note 5 Pro hands-on review,,"Xiaomi,Android",Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-note-5-pro/hands-on/inline/-728w2/gsmarena_001.jpg
83,Galaxy Note8,Samsung Galaxy Note8 long-term review,,"Samsung,Android,Long-term",Samsung,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-note8-long-term/lifestyle/-728w2/gsmarena_001.jpg
84,Xperia XZ2,Sony Xperia XZ2 and XZ2 Compact hands-on review,,"Sony,Android,MWC 2018",Sony,https://cdn.gsmarena.com/imgroot/reviews/18/sony-xperia-xz2-xz2-compact-hands-on/lifestyle/-728w2/gsmarena_012.jpg
85,Zenfone 5z ZS620KL,"Asus Zenfone 5, 5z, 5 Lite hands-on review",,"Asus,Android,MWC 2018",Asus,"https://cdn.gsmarena.com/imgroot/reviews/18/asus-mwc-2018/zenfone-5/-728w2/gsmarena_014.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/asus-mwc-2018/zenfone-5-lite/-728w2/gsmarena_009.jpg"
